gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Athaliana_geneID,Gene_Function
Soltu.DM.04G033650,1465.944895,2.271135957,0.335748562,6.764395181,1.34E-11,4.95E-08,AT5G42900,cold regulated gene
Soltu.DM.04G037030,598.2426493,1.115535242,0.193929866,5.752261201,8.81E-09,1.36E-05,AT1G76040,calcium-dependent protein kinase
Soltu.DM.05G012520,889.0480206,1.422382031,0.216896566,6.557881751,5.46E-11,1.61E-07,AT2G33500,B-box type zinc finger protein with CCT domain
Soltu.DM.06G003380,2730.081749,1.833460464,0.181827772,10.0835007,6.54E-24,1.35E-19,AT4G37300,maternal effect embryo arrest
Soltu.DM.06G003930,279.5176904,1.751810278,0.294944481,5.939457735,2.86E-09,5.91E-06,AT3G46640,Homeodomain-like superfamily protein
Soltu.DM.06G009180,1583.101717,1.710063519,0.307161148,5.567317118,2.59E-08,3.34E-05,AT2G40080,Protein of unknown function (DUF1313)
Soltu.DM.06G009240,380.2759451,1.438662388,0.189231453,7.602659948,2.90E-14,2.00E-10,AT2G40080,Protein of unknown function (DUF1313)
Soltu.DM.06G031660,277.6520845,1.427503834,0.264984084,5.387130482,7.16E-08,8.22E-05,AT3G46640,Homeodomain-like superfamily protein
Soltu.DM.07G005750,1229.899471,1.077913474,0.219133992,4.91896974,8.70E-07,0.000620077,AT2G06925,Phospholipase A2 family protein
Soltu.DM.07G010570,4921.409008,1.102614763,0.1716569,6.42336407,1.33E-10,3.44E-07,AT4G13250,NAD(P)-binding Rossmann-fold superfamily protein
Soltu.DM.07G027060,1336.615119,-1.258720429,0.241557709,-5.210847684,1.88E-07,0.000176607,AT3G13110,serine acetyltransferase 2;2
Soltu.DM.08G000370,80.55352461,-1.406906607,0.266344882,-5.282273862,1.28E-07,0.000125579,AT1G12420,ACT domain repeat
Soltu.DM.09G002760,393.0913314,1.024185336,0.26102562,3.92369659,8.72E-05,0.034006567,AT2G24280,alpha/beta-Hydrolases superfamily protein
Soltu.DM.09G019250,1681.554381,4.647838957,1.105727223,4.203422742,2.63E-05,0.013253815,AT3G63060,EID1-like
Soltu.DM.10G000080,64.13704103,-1.714071536,0.371026397,-4.619810206,3.84E-06,0.002405691,AT2G46830,Homeodomain-like superfamily protein
Soltu.DM.10G000080,64.13704103,-1.714071536,0.371026397,-4.619810206,3.84E-06,0.002405691,AT1G01060,circadian clock associated
Soltu.DM.10G000090,794.1349993,-1.414704686,0.272390079,-5.193671852,2.06E-07,0.00018529,AT1G01060,Homeodomain-like superfamily protein
Soltu.DM.10G015000,72.54633911,1.699877505,0.375778214,4.523619097,6.08E-06,0.003589974,AT1G45249,abscisic acid responsive elements-binding factor
Soltu.DM.10G027790,1210.30476,-1.389108932,0.351109356,-3.95634269,7.61E-05,0.030843808,NA,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Soltu.DM.12G023800,2710.935787,1.221988228,0.238268266,5.128623503,2.92E-07,0.000232024,AT3G07650,CONSTANS-like
Soltu.DM.12G023800,2710.935787,1.221988228,0.238268266,5.128623503,2.92E-07,0.000232024,AT3G07650,B-box type zinc finger protein with CCT domain
